"site_code","date_index","one_week_date","Log10_NoV_norm","Easting","Northing","carehome_density","school_density","BAME","prop_urb","lockdown_lifting","lockdown_step3","lockdown_step4","lockdown_planB","mobility","imd_score","rain_rolling_7day","temp_rolling_7day","nov_3week"
"UKENSO_SW_TP000013",1,"24/05/2021",NA,446839,117931,19.46507649,52.97234878,0.097281132,0.712492093,0,1,0,0,-19.34680176,8.471673034,9.80118571428562e-06,283.1928633,NA
"UKENSO_SW_TP000016",1,"24/05/2021",4.555878257,460200,85191,56.23934958,64.41800583,0.034052693,0.681747261,0,1,0,0,-9.428571429,25.15371657,3.86963285714286e-05,283.3953728,4.555878257
"UKENSO_SW_TP000022",1,"24/05/2021",NA,633188,162889,36.2643919,82.06788553,0.0498214,0.678763326,0,1,0,0,-15.31128294,27.55420198,4.48818571428566e-06,282.6263053,NA
"UKENSO_SW_TP000025",1,"24/05/2021",NA,582959,168491,28.62277426,85.70369464,0.169174301,0.748946586,0,1,0,0,-24.1347302,24.00624434,1.60267571428571e-05,282.5630343,NA
"UKENSO_SW_TP000026",1,"24/05/2021",NA,601950,143308,16.32618969,71.6084954,0.174048418,0.606874146,0,1,0,0,-24.40578879,20.22551456,3.93104285714269e-06,282.6873887,NA
"UKENSO_SW_TP000028",1,"24/05/2021",NA,628575,139968,65.73609311,91.19786413,0.093625145,0.802384959,0,1,0,0,-13.97037957,29.1904811,3.79247142857136e-06,282.5938925,NA
"UKENSO_SW_TP000030",1,"24/05/2021",NA,571975,159382,24.63628297,74.11567871,0.131573272,0.733799324,0,1,0,0,-8.410178731,15.32938011,1.43538999999999e-05,282.6535456,NA
"UKENSO_SW_TP000033",1,"24/05/2021",NA,616939,159720,28.50974372,75.76764319,0.192190397,0.678834476,0,1,0,0,-22.55821281,17.75721962,5.66104285714276e-06,282.6263629,NA
"UKENSO_SW_TP000083",1,"24/05/2021",3.520087358,517007,103642,63.79057584,56.31075228,0.081170918,0.868833815,0,1,0,0,-24.81553923,16.40866184,8.2881857142857e-06,282.9978265,3.520087358
"UKENSO_SW_TP000090",1,"24/05/2021",NA,499695,103145,66.60622689,40.59785187,0.043204862,0.876368079,0,1,0,0,-13.06178228,18.61415076,8.90532857142858e-06,282.9878624,NA
"UKENSO_SW_TP000091",1,"24/05/2021",5.076883779,576559,109381,81.15717443,76.62792096,0.079992777,0.890135096,0,1,0,0,-17.3802539,31.02549193,1.30389999999996e-06,282.9200025,5.076883779
"UKENSW_SWS_TP000002",1,"24/05/2021",NA,253327,134309,11.39169901,83.17305734,0.043230992,0.165435642,0,1,0,0,-16.14259483,14.0977672,4.29175714285707e-06,283.0820795,NA
"UKENSW_SWS_TP000016",1,"24/05/2021",NA,242167,127655,65.62563421,45.28331723,0.023478715,0.161483265,0,1,0,0,-13.71428571,17.34440991,4.49604285714281e-06,283.41107,NA
"UKENSW_SWS_TP000024",1,"24/05/2021",NA,302457,80397,98.72085087,79.67223473,0.021223695,0.275705475,0,1,0,0,-15.71428571,16.71968736,1.98318571428546e-06,282.8798842,NA
"UKENSW_SWS_TP000025",1,"24/05/2021",NA,182302,32206,25.19992798,64.9366016,0.056941565,0.160352459,0,1,0,0,-21.28571429,17.81605719,1.56204285714283e-06,283.6569701,NA
"UKENSW_SWS_TP000051",1,"24/05/2021",NA,288249,72051,21.91719086,76.08673067,0.025144749,0.296720651,0,1,0,0,-17.67320371,21.26890853,1.29690000000004e-06,282.7555473,NA
"UKENSW_SWS_TP000055",1,"24/05/2021",NA,206629,52671,23.76032285,89.83786086,0.022707192,0.133924393,0,1,0,0,-21.28571429,18.52628281,7.50899999999916e-07,283.2372715,NA
"UKENSW_SWS_TP000058",1,"24/05/2021",4.491545363,249776,54024,47.95896107,64.58372519,0.08208899,0.383226955,0,1,0,0,-14.14305514,25.96361977,7.94185714285608e-07,282.7825973,4.491545363
"UKENSW_SWS_TP000059",1,"24/05/2021",NA,252334,56403,48.23486509,98.32878747,0.030580701,0.329239604,0,1,0,0,-14.1494159,17.1654902,7.45757142857173e-07,282.9106545,NA
"UKENSW_SWS_TP000064",1,"24/05/2021",5.391310839,313655,90455,52.88361232,65.44115532,0.028092557,0.062514116,0,1,0,0,-15.71428571,9.609910077,3.08890000000009e-06,282.6724608,5.391310839
"UKENSW_SWS_TP000075",1,"24/05/2021",NA,289699,56301,46.23947442,90.78423722,0.019052173,0.226355616,0,1,0,0,-15.20401304,15.4222214,9.45899999999954e-07,282.9568712,NA
"UKENSW_WXW_TP000004",1,"24/05/2021",NA,353294,179291,23.90338264,73.83802273,0.158243197,0.526753283,0,1,0,0,-29.7088093,20.74330278,1.97304285714286e-06,282.8428434,NA
"UKENSW_WXW_TP000005",1,"24/05/2021",NA,369299,168221,27.93000449,94.67806788,0.114375757,0.362178982,0,1,0,0,-29.1722035,11.20360495,1.14504285714285e-06,282.6975189,NA
"UKENSW_WXW_TP000038",1,"24/05/2021",NA,413049,95051,51.93960973,50.4341812,0.132446991,0.742000784,0,1,0,0,-22.56951271,18.19633482,3.05143285714285e-05,283.4657551,NA
