,site_code,dailyrain,date,
335,UKENAN_AW_TP000016,0.003484972,31/03/2022,
336,UKENAN_AW_TP000016,0.000811976,01/04/2022,
337,UKENAN_AW_TP000016,0.003257236,02/04/2022,
338,UKENAN_AW_TP000016,1.75E-05,03/04/2022,
339,UKENAN_AW_TP000023,0.00073336,01/05/2021,
340,UKENAN_AW_TP000023,0.002309576,02/05/2021,
341,UKENAN_AW_TP000023,0.000339186,03/05/2021,
342,UKENAN_AW_TP000023,0.002322155,04/05/2021,
343,UKENAN_AW_TP000023,0.000940753,05/05/2021,
344,UKENAN_AW_TP000023,0.000242056,06/05/2021,
345,UKENAN_AW_TP000023,5.40E-05,07/05/2021,
346,UKENAN_AW_TP000023,2.74E-06,08/05/2021,
347,UKENAN_AW_TP000023,1.49E-05,09/05/2021,
348,UKENAN_AW_TP000023,2.31E-06,10/05/2021,
349,UKENAN_AW_TP000023,0.000897808,11/05/2021,
350,UKENAN_AW_TP000023,0.001383023,12/05/2021,
351,UKENAN_AW_TP000023,0.001443415,13/05/2021,
352,UKENAN_AW_TP000023,9.96E-05,14/05/2021,
353,UKENAN_AW_TP000023,2.29E-05,15/05/2021,
354,UKENAN_AW_TP000023,0.004501948,16/05/2021,
355,UKENAN_AW_TP000023,0.000727002,17/05/2021,
356,UKENAN_AW_TP000023,3.47E-06,18/05/2021,
357,UKENAN_AW_TP000023,5.60E-07,19/05/2021,
358,UKENAN_AW_TP000023,1.39E-05,20/05/2021,
359,UKENAN_AW_TP000023,2.04E-05,21/05/2021,
360,UKENAN_AW_TP000023,4.66E-06,22/05/2021,
361,UKENAN_AW_TP000023,2.69E-06,23/05/2021,
362,UKENAN_AW_TP000023,1.24E-06,24/05/2021,
363,UKENAN_AW_TP000023,9.27E-07,25/05/2021,
364,UKENAN_AW_TP000023,7.13E-08,26/05/2021,
365,UKENAN_AW_TP000023,3.07E-06,27/05/2021,
366,UKENAN_AW_TP000023,0.000292583,28/05/2021,
367,UKENAN_AW_TP000023,0.000123591,29/05/2021,
368,UKENAN_AW_TP000023,0.001891661,30/05/2021,
369,UKENAN_AW_TP000023,0.000646451,31/05/2021,
370,UKENAN_AW_TP000023,8.00E-05,01/06/2021,
371,UKENAN_AW_TP000023,0.00446243,02/06/2021,
372,UKENAN_AW_TP000023,0.000305357,03/06/2021,
373,UKENAN_AW_TP000023,0.00047535,04/06/2021,
374,UKENAN_AW_TP000023,2.54E-05,05/06/2021,
375,UKENAN_AW_TP000023,0.000671503,06/06/2021,
376,UKENAN_AW_TP000023,0.000116554,07/06/2021,
377,UKENAN_AW_TP000023,0.004435846,08/06/2021,
378,UKENAN_AW_TP000023,0.00037184,09/06/2021,
379,UKENAN_AW_TP000023,7.51E-05,10/06/2021,
380,UKENAN_AW_TP000023,0.000625633,11/06/2021,
381,UKENAN_AW_TP000023,4.17E-05,12/06/2021,
382,UKENAN_AW_TP000023,1.07E-06,13/06/2021,
383,UKENAN_AW_TP000023,3.43E-07,14/06/2021,
384,UKENAN_AW_TP000023,5.76E-05,15/06/2021,
385,UKENAN_AW_TP000023,2.10E-05,16/06/2021,
386,UKENAN_AW_TP000023,2.62E-06,17/06/2021,
387,UKENAN_AW_TP000023,2.15E-06,18/06/2021,
388,UKENAN_AW_TP000023,5.48E-06,19/06/2021,
389,UKENAN_AW_TP000023,1.88E-06,20/06/2021,
390,UKENAN_AW_TP000023,6.30E-07,21/06/2021,
391,UKENAN_AW_TP000023,1.23E-06,22/06/2021,
392,UKENAN_AW_TP000023,2.65E-05,23/06/2021,
393,UKENAN_AW_TP000023,4.51E-05,24/06/2021,
394,UKENAN_AW_TP000023,7.13E-05,25/06/2021,
395,UKENAN_AW_TP000023,5.12E-06,26/06/2021,
396,UKENAN_AW_TP000023,7.41E-06,27/06/2021,
397,UKENAN_AW_TP000023,6.11E-07,28/06/2021,
398,UKENAN_AW_TP000023,5.58E-07,29/06/2021,
399,UKENAN_AW_TP000023,6.86E-05,30/06/2021,
400,UKENAN_AW_TP000023,3.54E-05,01/07/2021,
401,UKENAN_AW_TP000023,0.001003364,02/07/2021,
402,UKENAN_AW_TP000023,9.07E-05,03/07/2021,
403,UKENAN_AW_TP000023,0.000964154,04/07/2021,
404,UKENAN_AW_TP000023,0.000115873,05/07/2021,
405,UKENAN_AW_TP000023,0.002060723,06/07/2021,
406,UKENAN_AW_TP000023,0.003679155,07/07/2021,
407,UKENAN_AW_TP000023,0.000913688,08/07/2021,
408,UKENAN_AW_TP000023,0.003969024,09/07/2021,
409,UKENAN_AW_TP000023,0.001957323,10/07/2021,
410,UKENAN_AW_TP000023,0.000467262,11/07/2021,
411,UKENAN_AW_TP000023,8.99E-05,12/07/2021,
412,UKENAN_AW_TP000023,6.20E-05,13/07/2021,
413,UKENAN_AW_TP000023,6.14E-05,14/07/2021,
414,UKENAN_AW_TP000023,0.000111994,15/07/2021,
415,UKENAN_AW_TP000023,0.000295492,16/07/2021,
416,UKENAN_AW_TP000023,0.000150304,17/07/2021,
417,UKENAN_AW_TP000023,0.00412658,18/07/2021,
418,UKENAN_AW_TP000023,0.000363199,19/07/2021,
419,UKENAN_AW_TP000023,0.000418618,20/07/2021,
420,UKENAN_AW_TP000023,0.00038533,21/07/2021,
421,UKENAN_AW_TP000023,0.002260622,22/07/2021,
422,UKENAN_AW_TP000023,0.006498425,23/07/2021,
423,UKENAN_AW_TP000023,0.000419279,24/07/2021,
424,UKENAN_AW_TP000023,0.000278149,25/07/2021,
425,UKENAN_AW_TP000023,0.000100858,26/07/2021,
426,UKENAN_AW_TP000023,8.47E-05,27/07/2021,
427,UKENAN_AW_TP000023,0.000193488,28/07/2021,
428,UKENAN_AW_TP000023,6.82E-05,29/07/2021,
429,UKENAN_AW_TP000023,1.57E-05,30/07/2021,
430,UKENAN_AW_TP000023,2.70E-05,31/07/2021,
431,UKENAN_AW_TP000023,7.55E-05,01/08/2021,
432,UKENAN_AW_TP000023,0.000799218,02/08/2021,
433,UKENAN_AW_TP000023,0.000271882,03/08/2021,
434,UKENAN_AW_TP000023,0.002444814,04/08/2021,
435,UKENAN_AW_TP000023,0.002873729,05/08/2021,
436,UKENAN_AW_TP000023,0.000911593,06/08/2021,
437,UKENAN_AW_TP000023,0.000859593,07/08/2021,
438,UKENAN_AW_TP000023,0.000485095,08/08/2021,
439,UKENAN_AW_TP000023,0.011323076,09/08/2021,
440,UKENAN_AW_TP000023,0.001449975,10/08/2021,
441,UKENAN_AW_TP000023,0.000739336,11/08/2021,
442,UKENAN_AW_TP000023,0.003163271,12/08/2021,
443,UKENAN_AW_TP000023,0.000561644,13/08/2021,
444,UKENAN_AW_TP000023,5.75E-05,14/08/2021,
445,UKENAN_AW_TP000023,0.000435877,15/08/2021,
446,UKENAN_AW_TP000023,0.001300617,16/08/2021,
447,UKENAN_AW_TP000023,0.002043008,17/08/2021,
448,UKENAN_AW_TP000023,0.002978099,18/08/2021,
449,UKENAN_AW_TP000023,0.001119042,19/08/2021,
450,UKENAN_AW_TP000023,0.003093168,20/08/2021,
451,UKENAN_AW_TP000023,0.002500169,21/08/2021,
452,UKENAN_AW_TP000023,0.003283665,22/08/2021,
453,UKENAN_AW_TP000023,0.000744331,23/08/2021,
454,UKENAN_AW_TP000023,0.000915109,24/08/2021,
455,UKENAN_AW_TP000023,0.003553525,25/08/2021,
456,UKENAN_AW_TP000023,0.001504668,26/08/2021,
457,UKENAN_AW_TP000023,0.001545576,27/08/2021,
458,UKENAN_AW_TP000023,0.000152583,28/08/2021,
